cheater_pct,runs,successes,steps_mean,steps_std,time_mean_s,time_std_s,throughput_mean,throughput_std
0.0,10,10,760.4,142.87694783351938,20.267277550697326,3.7867172522655723,37.54123660484193,2.2870263004642797
10.0,10,10,447.2,35.197222112610596,14.720343470573425,1.6111451541655815,30.52405746417989,2.1759948112727696
20.0,10,10,421.9,14.114216631152829,14.7131667137146,0.5227729805749547,28.680688582601853,0.5189665606165149
30.0,10,10,381.4,6.752777206453653,14.542191863059998,0.5204683847838526,26.247956721230057,0.7445660475010792
40.0,10,10,348.6,6.05896947600094,13.751677536964417,2.0569864162932197,26.151170077770217,6.040465884140485
50.0,10,10,328,24.115462996914562,10.099029684066773,3.3689297654301753,35.16798044478034,9.053346351762212
60.0,10,10,333,4.216370213557839,8.336231541633605,0.2035768518078648,39.96751777542542,1.0955580136930831
70.0,10,10,332.5,6.311365409587163,8.726389527320862,0.2788456416724169,38.14056488988359,1.4669654943649086
80.0,10,10,333.3,6.799509786251751,9.745908713340759,1.1763070202832597,34.59440452602871,3.6717671145981625
90.0,10,10,334.7,5.4984846397287805,11.159625935554505,0.4006279122892266,30.02166069618188,1.024635309513448
100.0,10,10,336.6,6.363087999461338,10.687653017044067,0.39117703748910027,31.524844804638544,1.070295625061264
